Region;Appellation;Domaine;Nom;Millesime;Quantite;Flacon;Meuble;Position;Couleur;Type;Cepage;Mets et vins;Note;A consommer avant;Fournisseur;Commentaires
Alsace;Muscat;;;2004;1;75cl;E;3;Blanc;Tranquille;Muscat;Apero;3;;Moi;
Allemagne;Riesling;;;2014;1;75cl;E;4;Blanc;Tranquille;Riesling;Apero;3;;Cadeau IPN;
Allemagne;Riesling;;;2015;2;75cl;E;4;Blanc;Tranquille;Riesling;Apero;3;;Cadeau IPN;
Allemagne;Riesling;;;2016;2;75cl;E;4;Blanc;Tranquille;Riesling;Apero;3;;Cadeau IPN;
Bordeaux;Graves;;;2016;1;75cl;;;Blanc;Tranquille;;Poisson;3;;Francis;
Sud Ouest;Cotes de Gascogne;;;?;1;75cl;D;7;Blanc;Moelleux;;Apero/Foie gras;3;;Moi;
Sud Ouest;Bergerac;;;2011;1;75cl;D;7;Blanc;Moelleux;;Apero/Foie gras;4;;Moi;
Loire;Coteaux du Layon;;;2006;1;75cl;D;5;Blanc;Moelleux;;Apero/Foie gras;3;;Cadeau;
Loire;Coteaux du Layon;;;2012;2;75cl;D;5;Blanc;Moelleux;;Apero/Foie gras;3;;Cadeau;
Loire;Coteaux du Layon Chaume;;;2011;2;75cl;D;6;Blanc;Moelleux;;Apero/Foie gras;4;;SMTC ?;
Loire;Coteaux de l'Aubance;;;1997;1;75cl;D;6;Blanc;Moelleux;;Apero/Foie gras;3;;;
Bordeaux;Sauternes 1er cru;Chateau Giraud;;1994;1;75cl;D;1;Blanc;Moelleux;;Apero/Foie gras;5;;Cadeau Noellie;
Bordeaux;Sauternes;Domaine La Gauche;;2003;2;75cl;D;1;Blanc;Moelleux;;Apero/Foie gras;3;;Francis;
Bordeaux;Sauternes;Domaine La Gauche;;2004;2;75cl;D;1;Blanc;Moelleux;;Apero/Foie gras;3;;Francis;
Bordeaux;Sauternes;Domaine La Gauche;;2007;1;75cl;D;1;Blanc;Moelleux;;Apero/Foie gras;3;;Francis;
Bordeaux;Sauternes;Magni Thibault;;2009;1;75cl;D;2;Blanc;Moelleux;;Apero/Foie gras;4;;Francis;
Bordeaux;Sauternes;Magni Thibault;;2009;4;50cl;D;2;Blanc;Moelleux;;Apero/Foie gras;4;;Francis;
Bordeaux;Sauternes;;;2002;1;50cl;D;2;Blanc;Moelleux;;Apero/Foie gras;3;;;
Bordeaux;Sainte Croix du Mont;;;2002;2;75cl;D;3;Blanc;Moelleux;;Apero/Foie gras;4;;Francis;
Bordeaux;Sainte Croix du Mont;;;2005;3;75cl;D;3;Blanc;Moelleux;;Apero/Foie gras;4;;Francis;
Bordeaux;Sainte Croix du Mont;;;2007;1;75cl;D;3;Blanc;Moelleux;;Apero/Foie gras;4;;Francis;
